Age,C/N,d13C,d15N,TC,Bsi,MS
"6,623.00",7.45,-19.92,-0.42,4.24,135,11.66
"6,643.00",7.33,-20,-0.37,4.16,135,9.42
"6,663.00",7.25,-20.02,-0.33,4.12,135,8.16
"6,683.00",7.24,-20.1,-0.3,4.14,135,8.47
"6,703.00",7.25,-20.1,-0.28,4.19,135,8.95
"6,723.00",7.26,-20.1,-0.26,4.23,135,9.05
"6,743.00",7.27,-20.1,-0.23,4.27,135,8.94
"6,763.00",7.28,-20.12,-0.21,4.31,135.2,8.74
"6,783.00",7.29,-20.19,-0.19,4.35,135.9,8.47
"6,803.00",7.3,-20.2,-0.16,4.4,136,8.42
"6,823.00",7.31,-20.2,-0.14,4.44,136,8.99
"6,843.00",7.32,-20.2,-0.12,4.48,136,9.85
"6,863.00",7.34,-20.22,-0.1,4.52,136,11.12
"6,883.00",7.35,-20.29,-0.07,4.56,136,12.71
"6,903.00",7.36,-20.3,-0.05,4.6,136,14.44
"6,923.00",7.37,-20.3,-0.03,4.65,136,16.38
"6,943.00",7.38,-20.3,0,4.69,136,18.21
"6,963.00",7.39,-20.32,0.02,4.73,136,19.56
"6,983.00",7.4,-20.39,0.04,4.77,136,20.66
"7,003.00",7.41,-20.4,0.07,4.81,136,21.55
"7,023.00",7.42,-20.4,0.09,4.85,136,22.12
"7,043.00",7.43,-20.4,0.11,4.87,135.8,21.89
"7,063.00",7.43,-20.4,0.1,4.84,135.1,19.77
"7,083.00",7.43,-20.42,0.09,4.8,135,17.56
"7,103.00",7.43,-20.49,0.08,4.76,135,16.94
"7,123.00",7.42,-20.5,0.07,4.72,135,17.44
"7,143.00",7.42,-20.5,0.06,4.68,135,18.01
"7,163.00",7.42,-20.5,0.05,4.63,135,18.53
"7,183.00",7.42,-20.5,0.04,4.59,135,18.27
"7,203.00",7.42,-20.52,0.03,4.55,135,15.53
"7,223.00",7.42,-20.59,0.02,4.51,135,12.09
"7,243.00",7.41,-20.6,0.01,4.47,135,10.03
"7,263.00",7.41,-20.6,0,4.43,135,9.58
"7,283.00",7.41,-20.6,-0.01,4.39,135,9.29
"7,303.00",7.41,-20.6,-0.02,4.35,135.2,9.04
"7,323.00",7.41,-20.6,-0.03,4.31,135.9,9
"7,343.00",7.41,-20.62,-0.04,4.27,136,9.78
"7,363.00",7.4,-20.69,-0.05,4.22,136,11.01
"7,383.00",7.4,-20.7,-0.06,4.18,136,12
"7,403.00",7.4,-20.7,-0.07,4.14,136,12.48
"7,423.00",7.4,-20.72,-0.08,4.11,136,12.29
"7,443.00",7.38,-20.79,-0.07,4.09,136.2,10.63
"7,463.00",7.36,-20.82,-0.07,4.07,136.9,9.96
"7,483.00",7.33,-20.89,-0.06,4.06,137,9.52
"7,502.00",7.31,-20.92,-0.05,4.04,137,9.43
"7,522.00",7.28,-21.01,-0.05,4.02,136.8,9.81
"7,542.00",7.26,-21.09,-0.04,4.01,136.1,9.98
"7,562.00",7.24,-21.12,-0.03,3.99,135.8,9.52
"7,582.00",7.21,-21.19,-0.03,3.97,135.1,8.52
"7,602.00",7.19,-21.18,-0.04,3.92,135,7.58
"7,622.00",7.18,-21.09,-0.09,3.79,134.8,7.84
"7,642.00",7.17,-20.99,-0.14,3.64,134.1,8.63
"7,662.00",7.15,-20.87,-0.19,3.5,133.8,8.13
"7,682.00",7.14,-20.7,-0.24,3.36,133.1,8.71
"7,702.00",7.13,-20.59,-0.3,3.22,132.8,8.84
"7,722.00",7.12,-20.49,-0.35,3.08,131.9,9.88
"7,742.00",7.11,-20.39,-0.4,2.94,130.9,11.85
"7,762.00",7.09,-20.29,-0.44,2.84,130.1,14.84
"7,782.00",7.04,-20.24,-0.42,2.92,130.1,18.92
"7,802.00",6.94,-20.37,-0.3,3.24,130.6,18.07
"7,822.00",6.86,-20.47,-0.19,3.52,131.3,15.05
"7,842.00",6.87,-20.37,-0.17,3.48,133.2,7.03
"7,862.00",6.95,-20.18,-0.19,3.22,135.2,5.67
"7,882.00",7,-20.03,-0.23,3.17,137.2,6.61
"7,902.00",6.97,-20.13,-0.27,3.78,138.7,5.4
"7,922.00",7,-20.3,-0.25,4.29,137.6,4.66
"7,942.00",7.17,-20.27,-0.22,4.51,135.1,5.21
"7,962.00",7.58,-19.67,-0.19,5.07,134.3,6.76
"7,982.00",7.69,-19.47,-0.08,5.06,134.4,6.5
